disease_id,drug_id,disease,medical_condition,drug_name,rating,pregnancy_category,side_effect
3,11,GERD,"Gastroesophageal reflux disease (GERD) is when food or liquid travels from the stomach back up into the esophagus (the tube from the mouth to the stomach). This partially digested material is usually acidic and can irritate the esophagus, often causing heartburn and other symptoms.",Cimetidine,7.5,Permitted to be taken by pregnant women,"pain when swallowing; bloody or tarry stools, cough with bloody mucus or vomit that looks like coffee grounds; changes in mood, anxiety , agitation ; confusion, hallucinations; or breast swelling or tenderness. Serious side effects may be more likely in older adults and those who are ill or debilitated. Common side effects of cimetidine may include: headache ; or diarrhea ."
3,12,GERD,"Gastroesophageal reflux disease (GERD) is when food or liquid travels from the stomach back up into the esophagus (the tube from the mouth to the stomach). This partially digested material is usually acidic and can irritate the esophagus, often causing heartburn and other symptoms.",Prevacid,7.8,Permitted to be taken by pregnant women,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Call your doctor at once if you have: severe stomach pain, diarrhea that is watery or bloody; new or unusual pain in your wrist, back, hip, or thigh; a seizure (convulsions); kidney problems - fever, nausea, little or no urination, blood in your urine, swelling, rapid weight gain; low magnesium - dizziness, fast or irregular heart rate, tremors (shaking) or jerking muscle movements, feeling jittery, muscle cramps, muscle spasms in your hands and feet, cough or choking feeling; or new or worsening symptoms of lupus - joint pain, and a skin rash on your cheeks or arms that worsens in sunlight. Common Prevacid side effects may include: nausea, stomach pain; diarrhea, constipation ; or headache ."
3,13,GERD,"Gastroesophageal reflux disease (GERD) is when food or liquid travels from the stomach back up into the esophagus (the tube from the mouth to the stomach). This partially digested material is usually acidic and can irritate the esophagus, often causing heartburn and other symptoms.",Prevacid OTC,8,Permitted to be taken by pregnant women,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Prevacid OTC may cause serious side effects. Call your doctor at once if you have: severe stomach pain, diarrhea that is watery or bloody; new or unusual pain in your wrist, back, hip, or thigh; a seizure (convulsions); kidney problems--fever, nausea, little or no urination, blood in your urine, swelling, rapid weight gain; low magnesium-- dizziness , fast or irregular heart rate, tremors (shaking) or jerking muscle movements, feeling jittery, muscle cramps, muscle spasms in your hands and feet, cough or choking feeling; or new or worsening symptoms of lupus--joint pain, and a skin rash on your cheeks or arms that worsens in sunlight. Taking Prevacid OTC long-term may cause you to develop stomach growths called fundic gland polyps. Talk with your doctor about this risk. If you use Prevacid OTC for longer than 3 years, you could develop a vitamin B-12 deficiency. Talk to your doctor about how to manage this condition if you develop it. Common side effects of Prevacid OTC may include: nausea, stomach pain; diarrhea, constipation ; or headache ."
3,14,GERD,"Gastroesophageal reflux disease (GERD) is when food or liquid travels from the stomach back up into the esophagus (the tube from the mouth to the stomach). This partially digested material is usually acidic and can irritate the esophagus, often causing heartburn and other symptoms.",Rabeprazole,8.1,Permitted to be taken by pregnant women,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Rabeprazole may cause serious side effects. Call your doctor at once if you have: severe stomach pain, diarrhea that is watery or bloody; sudden pain or trouble moving your hip, wrist, or back; seizure (convulsions); kidney problems--fever, rash, nausea , loss of appetite, joint pain, urinating less than usual, blood in your urine, swelling, rapid weight gain; new or worsening symptoms of lupus--joint pain, and a skin rash on your cheeks or arms that worsens in sunlight; low magnesium-- dizziness , fast or irregular heart rate, tremors (shaking) or jerking muscle movements, feeling jittery, muscle cramps, muscle spasms in your hands and feet, cough or choking feeling; or signs of bleeding (if you also take warfarin )--headaches, dizziness, weakness; pain or swelling; bruising, unusual bleeding ( nosebleeds , bleeding gums); red or pink urine; heavy menstrual flow; bloody or tarry stools, coughing up blood or vomit that looks like coffee grounds; or any bleeding that will not stop. Taking rabeprazole long-term may cause you to develop stomach growths called fundic gland polyps. Talk with your doctor about this risk. If you use rabeprazole for longer than 3 years, you could develop a vitamin B-12 deficiency. Talk to your doctor about how to manage this condition if you develop it. Common side effects of rabeprazole may include: infection; pain; sore throat ; headache ; nausea, vomiting ; gas, diarrhea, constipation ; or stomach pain."
3,15,GERD,"Gastroesophageal reflux disease (GERD) is when food or liquid travels from the stomach back up into the esophagus (the tube from the mouth to the stomach). This partially digested material is usually acidic and can irritate the esophagus, often causing heartburn and other symptoms.",Nizatidine,8.6,Permitted to be taken by pregnant women,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Nizatidine may cause serious side effects. Stop using nizatidine and call your doctor at once if you have: worsening heartburn; chest pain; pale skin, feeling light-headed or short of breath; or jaundice (yellowing of the skin or eyes). Common side effects of nizatidine may include: headache , dizziness ; diarrhea; or runny or stuffy nose."
4,16,Hypertension,"High blood pressure is also called hypertension. Measuring somebody's blood pressure gives us an indication of how effectively their heart is working to pump blood around their body. If their heart and blood vessels are working efficiently, then their blood pressure will be normal or slightly below normal. If their heart is having to work very hard to pump blood around their body, then their blood pressure will be high.",Microzide,8,Permitted to be taken by pregnant women,"Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention. Check with your doctor immediately if any of the following side effects occur: Incidence not known Back, leg, or stomach pains black, tarry stools bleeding gums blistering, peeling, or loosening of the skin bloating blood in the urine or stools blue lips and fingernails blurred vision burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings chest pain or tightness chills clay-colored stools cloudy urine cold sweats confusion constipation cough or hoarseness coughing that sometimes produces a pink frothy sputum coughing up blood cracks in the skin darkened urine decrease in urine-concentrating ability decreased frequency or amount of urine diarrhea difficult, fast, or noisy breathing difficulty with swallowing dizziness, faintness, or lightheadedness when getting up from a lying or sitting position dry mouth fast or irregular heartbeat fever flushed, dry skin fruit-like breath odor general body swelling general feeling of discomfort or illness greatly decreased frequency of urination or amount of urine headache hives, itching, rash increased hunger increased sweating increased thirst increased urination indigestion joint pain, stiffness, or swelling loss of appetite loss of heat from the body lower back or side pain muscle cramps or pain nausea or vomiting nosebleeds numbness, tingling, pain, or weakness in the hands or feet painful or difficult urination pains in the stomach or side, possibly radiating to the back pale skin persistent non-healing sore pink growth pinpoint red spots on the skin puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue red, irritated eyes red skin lesions, often with a purple center red, swollen skin reddish patch or irritated area redness, soreness, or scaly skin seizures shiny bump sore throat sores, ulcers, or white spots on the lips or in the mouth sores, welting, or blisters swelling of the face, fingers, legs, ankles, feet, or lower legs swollen or painful glands tenderness of salivary glands thickening of bronchial secretions trembling trouble breathing unpleasant breath odor unusual bleeding or bruising unusual tiredness or weakness unusual weight loss vomiting of blood weakness and heaviness of the legs weight gain white, yellow or waxy scar-like area yellow eyes or skin Some side effects may occur that usually do not need medical attention. These side effects may go away during treatment as your body adjusts to the medicine. Also, your health care professional may be able to tell you about ways to prevent or reduce some of these side effects. Check with your health care professional if any of the following side effects continue or are bothersome or if you have any questions about them: Incidence not known Cramping decreased interest in sexual intercourse difficulty having a bowel movement (stool) feeling of constant movement of self or surroundings hair loss or thinning of the hair inability to have or keep an erection increased sensitivity of the skin to sunlight loss in sexual ability, desire, drive, or performance muscle spasm redness or other discoloration of the skin restlessness sensation of spinning severe sunburn weakness Other side effects not listed may also occur in some patients. If you notice any other effects, check with your healthcare professional. Call your doctor for medical advice about side effects. You may report side effects to the FDA at 1-800-FDA-1088. Microzide side effects"
4,17,Hypertension,"High blood pressure is also called hypertension. Measuring somebody's blood pressure gives us an indication of how effectively their heart is working to pump blood around their body. If their heart and blood vessels are working efficiently, then their blood pressure will be normal or slightly below normal. If their heart is having to work very hard to pump blood around their body, then their blood pressure will be high.",Acebutolol,9.7,Permitted to be taken by pregnant women,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Acebutolol may cause serious side effects. Call your doctor at once if you have: shortness of breath (even with mild exertion), swelling, rapid weight gain; new or worsening chest pain; slow heartbeats; a light-headed feeling, like you might pass out; or dangerously high blood pressure--severe headache , blurred vision, pounding in your neck or ears, nosebleed, anxiety , confusion, severe chest pain, shortness of breath, irregular heartbeats. Common side effects of acebutolol may include: headache, dizziness; feeling tired; nausea , upset stomach ; diarrhea , constipation ; or sleep problems ( insomnia )."
4,18,Hypertension,"High blood pressure is also called hypertension. Measuring somebody's blood pressure gives us an indication of how effectively their heart is working to pump blood around their body. If their heart and blood vessels are working efficiently, then their blood pressure will be normal or slightly below normal. If their heart is having to work very hard to pump blood around their body, then their blood pressure will be high.",Inspra,10,Permitted to be taken by pregnant women,"hives ; severe stomach pain; difficulty breathing; swelling of your face, lips, tongue, or throat. Inspra may cause serious side effects. Call your doctor at once if you have: a light-headed feeling, like you might pass out; diarrhea , vomiting ; little or no urination; fast or irregular heartbeats; trouble breathing; swelling in your feet or lower legs; or high potassium-- nausea , weakness, tingly feeling, chest pain, irregular heartbeats, loss of movement. Common side effects of Inspra may include: high potassium; headache ; or dizziness ."
4,19,Hypertension,"High blood pressure is also called hypertension. Measuring somebody's blood pressure gives us an indication of how effectively their heart is working to pump blood around their body. If their heart and blood vessels are working efficiently, then their blood pressure will be normal or slightly below normal. If their heart is having to work very hard to pump blood around their body, then their blood pressure will be high.",Pindolol,6,Permitted to be taken by pregnant women,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Pindolol may cause serious side effects. Call your doctor at once if you have: shortness of breath (even with mild exertion), swelling, rapid weight gain; slow or uneven heartbeats; a light-headed feeling, like you might pass out; or unusual changes in mood or behavior. Common side effects of pindolol may include: dizziness; muscle or joint pain; sleep problems ( insomnia ); or feeling tired."
4,20,Hypertension,"High blood pressure is also called hypertension. Measuring somebody's blood pressure gives us an indication of how effectively their heart is working to pump blood around their body. If their heart and blood vessels are working efficiently, then their blood pressure will be normal or slightly below normal. If their heart is having to work very hard to pump blood around their body, then their blood pressure will be high.",Nebivolol,6,Not permitted to be taken by pregnant women,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Nebivolol may cause serious side effects. Call your doctor at once if you have: a light-headed feeling, like you might pass out; rapid weight gain; shortness of breath; slow or uneven heartbeats; or numbness or cold feeling in your hands and feet. Common side effects of nebivolol may include: dizziness; swelling in your legs; slow heartbeats; tiredness; or headache ."
5,21,Migraine,"Migraine headaches are a type of headache that some people get repeatedly over time. Migraines are different from other headaches because they occur with symptoms such as nausea, vomiting, or sensitivity to light. Some people who get migraines have warning symptoms, called an aura, before the actual headache begins. Most people, however, do not have such warning symptoms.",Cyclobenzaprine,7.7,Permitted to be taken by pregnant women,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Stop using this medicine and call your doctor at once if you have: fast or irregular heartbeats; chest pain or pressure, pain spreading to your jaw or shoulder; or sudden numbness or weakness (especially on one side of the body), slurred speech, balance problems. Seek medical attention right away if you have symptoms of serotonin syndrome, such as: agitation, hallucinations, fever, sweating, shivering, fast heart rate , muscle stiffness, twitching, loss of coordination, nausea , vomiting, or diarrhea . Serious side effects may be more likely in older adults. Common cyclobenzaprine side effects may include: drowsiness, tiredness; headache , dizziness ; dry mouth; or upset stomach , nausea, constipation ."
5,22,Migraine,"Migraine headaches are a type of headache that some people get repeatedly over time. Migraines are different from other headaches because they occur with symptoms such as nausea, vomiting, or sensitivity to light. Some people who get migraines have warning symptoms, called an aura, before the actual headache begins. Most people, however, do not have such warning symptoms.",Methergine,9.7,Not permitted to be taken by pregnant women,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Methergine may cause serious side effects. Call your doctor at once if you have: increased blood pressure (severe headache, blurred vision, pounding in your neck or ears); chest pain, sweating, pounding heartbeats or fluttering in your chest; a seizure; numbness, tingling, or cold feeling in your fingers or toes; a light-headed feeling, like you might pass out; or sudden numbness or weakness on one side of the body, problems with vision or speech, pain or swelling in one leg. Common side effects of Methergine may include: increased blood pressure (severe headache, blurred vision, pounding in your neck or ears); a seizure; or headache."
5,23,Migraine,"Migraine headaches are a type of headache that some people get repeatedly over time. Migraines are different from other headaches because they occur with symptoms such as nausea, vomiting, or sensitivity to light. Some people who get migraines have warning symptoms, called an aura, before the actual headache begins. Most people, however, do not have such warning symptoms.",Migranal,7.4,Not permitted to be taken by pregnant women,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Migranal may cause serious side effects. Call your doctor at once if you have: signs of a blood clot--sudden numbness or weakness on one side of the body, problems with vision or speech, pain or swelling in one leg; stomach cramps, diarrhea that may be bloody; numbness or tingling in your fingers or toes; chest pain or tightness, shortness of breath; muscle pain in your arms or legs; leg weakness; or swelling or itching. Common side effects of Migranal may include: pain, bruising, swelling, or irritation where the medicine was applied; sleep problems ( insomnia ); dizziness ; nausea , vomiting , diarrhea; runny nose ; altered sense of taste; or soreness or irritation in your nose."
5,24,Migraine,"Migraine headaches are a type of headache that some people get repeatedly over time. Migraines are different from other headaches because they occur with symptoms such as nausea, vomiting, or sensitivity to light. Some people who get migraines have warning symptoms, called an aura, before the actual headache begins. Most people, however, do not have such warning symptoms.",Acetaminophen / Aspirin / Caffeine / Salicylamide,9.9,Not permitted to be taken by pregnant women,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell your doctor or get medical help right away if you have any of the following signs or symptoms that may be related to a very bad side effect: Signs of an allergic reaction, like rash; hives ; itching; red, swollen, blistered, or peeling skin with or without fever; wheezing; tightness in the chest or throat; trouble breathing, swallowing, or talking; unusual hoarseness; or swelling of the mouth, face, lips, tongue, or throat. Signs of liver problems like dark urine, feeling tired, not hungry, upset stomach or stomach pain, light-colored stools, throwing up, or yellow skin or eyes. Signs of bleeding like throwing up or coughing up blood ; vomit that looks like coffee grounds; blood in the urine; black, red, or tarry stools; bleeding from the gums; abnormal vaginal bleeding ; bruises without a cause or that get bigger; or bleeding you cannot stop. A heartbeat that does not feel normal. Fever or chills. Very bad dizziness or passing out. Feeling confused. Feeling very tired or weak. Very bad belly pain. Ringing in ears. Hearing loss . Fast breathing. Sweating a lot. Very bad headache or if headache is not better after the first dose. Pain for more than 10 days. Fever for more than 3 days. A very bad skin reaction ( Stevens-Johnson syndrome / toxic epidermal necrolysis ) may happen. It can cause very bad health problems that may not go away, and sometimes death. Get medical help right away if you have signs like red, swollen, blistered, or peeling skin (with or without fever); red or irritated eyes; or sores in your mouth, throat, nose, or eyes. Acetaminophen / aspirin / caffeine / salicylamide side effects"
5,25,Migraine,"Migraine headaches are a type of headache that some people get repeatedly over time. Migraines are different from other headaches because they occur with symptoms such as nausea, vomiting, or sensitivity to light. Some people who get migraines have warning symptoms, called an aura, before the actual headache begins. Most people, however, do not have such warning symptoms.",Cafergot,8.5,Not permitted to be taken by pregnant women,"Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention. Check with your doctor immediately if any of the following side effects occur: Incidence not known Chest pain, discomfort, or tightness cold, pale, or a bluish color skin of the fingers or toes continuing loss of appetite continuing or severe nausea and vomiting continuing or severe stomach pain increased frequency of urination irregular heartbeat itching skin lower back pain numbness or tingling of the fingers or toes pain in the fingers or toes pain in arms legs, or lower back, especially pain in calves or heels upon exertion sweating swelling of hands, ankles, feet, or lower legs weakness weak or absent pulses in the legs Symptoms of overdose Blurred vision change or loss of consciousness cold clammy skin decreased awareness or responsiveness dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position headache nervousness numbness, tingling, pain, and bluish color of the fingernails, lips, skin, palms, or nail beds pounding in the ears seizures severe sleepiness slow or fast heartbeat sweating unusual tiredness or weakness vomiting Some side effects may occur that usually do not need medical attention. These side effects may go away during treatment as your body adjusts to the medicine. Also, your health care professional may be able to tell you about ways to prevent or reduce some of these side effects. Check with your health care professional if any of the following side effects continue or are bothersome or if you have any questions about them: Incidence not known Burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings dizziness or lightheadedness feeling of constant movement of self or surroundings sensation of spinning Other side effects not listed may also occur in some patients. If you notice any other effects, check with your healthcare professional. Call your doctor for medical advice about side effects. You may report side effects to the FDA at 1-800-FDA-1088. Cafergot side effects"
